step,time_fs,potential_energy_eV,kinetic_energy_eV,total_energy_eV,temperature_K
0,0.0,-0.16222113931304172,3.5728436002831394,3.4106224609700977,255.9329776410386
10,10.0,0.22447501487315602,3.1862803252858396,3.4107553401589956,228.2423476876619
20,20.0,1.17101941776603,2.240085599955767,3.411105017721797,160.46372075230448
30,30.0,2.1403889909740688,1.271059932753168,3.411448923727237,91.04964833164173
40,40.0,2.6192013720239036,0.7923110027079515,3.411512374731855,56.75549697298066
50,50.0,2.5076420848398238,0.9036435334025765,3.4112856182424003,64.73056369203034
60,60.0,2.1312240674062775,1.2798065159332601,3.411030583339538,91.6761910320523
70,70.0,1.8716839961077243,1.5392712257632697,3.410955221870994,110.26238824882941
80,80.0,1.8497290550699912,1.5613396242611106,3.411068679331102,111.84321057726099
90,90.0,1.9028543207838933,1.5083671717182554,3.4112214925021487,108.04864271227883
100,100.0,1.8057031779451842,1.605552499775251,3.411255677720435,115.01030495539436
