# Training_loss     Validation loss
89059491020.8     72473495259.42857
62012935372.8     50064644973.71429
42636977274.88     33676484900.57143
28421293342.72     22105574838.857143
18598275891.2     14313110528.0
12086002913.28     9296079872.0
7852502241.28     6103379602.285714
5250431948.8     4176349659.428571
3650051891.2     2977183049.142857
2651977021.44     2205789366.857143
1997110973.44     1695073517.7142856
1552161920.0     1333923638.857143
1228957071.36     1069705508.5714285
994063490.56     872213641.1428572
818153364.48     725945636.5714285
684581269.76     612667218.2857143
583161399.04     524449901.71428573
501239782.4     452500137.14285713
433238024.96     391123771.4285714
374047020.8     338146546.28571427
323915703.04     295188198.85714287
285918409.6     263264276.57142857
256657829.76     237466534.85714287
231493237.12     214395206.85714287
209325692.16     194176736.0
189750487.04     176079078.85714287
172055398.4     159859446.85714287
156138097.6     145203731.42857143
141981239.68     132149939.42857143
129422540.16     120588378.28571428
118215202.56     110189360.0
108005473.92     100775195.42857143
98943296.0     92311957.71428572
90594208.64     84609955.42857143
83093013.44     77645873.14285715
76296731.04     71324821.71428572
70094609.6     65517696.571428575
64486782.72     60281401.14285714
59341759.04     55512646.28571428
54686561.92     51169085.71428572
50395884.0     47147294.28571428
46493441.6     43504420.0
42911330.56     40157218.28571428
39574295.36     37049263.71428572
36536759.44     34195844.28571428
33729448.8     31565227.42857143
31140269.2     29136278.285714287
28720612.64     26884954.85714286
26515727.2     24808113.14285714
24485490.64     22904485.42857143
22623063.52     21161822.57142857
20882359.52     19529874.57142857
19279939.56     18035519.0
17803603.72     16654884.0
16438583.48     15374054.142857144
15163522.88     14187135.857142856
14010344.2     13098713.857142856
12939941.24     12092495.0
11938529.28     11164209.857142856
11025810.8     10306522.142857144
10174956.22     9508694.214285715
9370787.38     8762035.0
8652258.02     8085480.071428572
7982972.04     7460924.357142857
7361322.18     6881380.857142857
6792942.74     6346503.357142857
6264255.78     5852181.142857143
5775413.46     5399485.714285715
5325350.36     4975203.5
4905341.45     4586070.821428572
4523871.95     4227085.0
4171251.21     3896259.3214285714
3845368.86     3592584.6071428573
3544712.37     3312280.6785714286
3267741.69     3052910.6071428573
3016065.85     2816573.0714285714
2780650.87     2597158.6071428573
2564339.45     2396162.7678571427
2363545.67     2208253.5
2179286.0     2035745.1607142857
2010648.675     1877969.892857143
1853772.95     1731583.9464285714
1707306.33     1595067.4464285714
1575381.71     1471202.1607142857
1452209.995     1356510.392857143
1340362.5175     1251453.375
1234031.135     1152738.3392857143
1136469.785     1061810.625
1047296.14     978697.0892857143
965105.89     901391.6071428572
889695.54     831231.5714285715
820459.8775     766183.3303571428
756320.605     706284.7053571428
697521.86     651421.1785714285
642606.22     600349.4285714285
592259.57125     553232.7008928572
545712.52875     509979.55803571426
503162.82375     469907.54910714284
463214.0     432881.51339285716
426703.085     398792.65178571426
393612.7825     367656.03571428574
362634.295     338847.6964285714
334019.66125     312115.31696428574
307803.005     287567.8816964286
283542.43875     265106.0401785714
261388.080625     244264.95982142858
240564.283125     224897.14285714287
221763.506875     207177.47767857142
204198.84625     190881.5625
188207.811875     175898.95535714287
173475.275     162059.15625
159708.2778125     149286.5580357143
146995.9128125     137380.3404017857
135441.9384375     126596.51897321429
124653.9678125     116500.65401785714
114870.578125     107392.37388392857
105882.96875     98905.12276785714
